site,kind,mutates,guard,note
"Assets.Scripts.Objects.Pipes/FurnaceBase.cs::HandleBrokenMix","gated","yes","CloneGlobalAtmosphere(WorldGrid) (line 479); the sample at 473 is only null-checked","Broken furnace Mix(internal, cloned outdoor cell, All)."
"Assets.Scripts.Objects.Pipes/FurnaceBase.cs::HandlePressureCheck","read","no","","Reads outdoor pressure to compute burst delta against MAXPressureDelta (absolute device limit); damage only."
"Assets.Scripts.Objects.Pipes/FurnaceBase.cs::IsOverpressure","read","no","","Reads outdoor pressure for a tooltip warning."
"Assets.Scripts.Objects.Pipes/FurnaceBase.cs::OnDestroy","gated","yes","CloneGlobalAddGasMix event (line 941) -> CloneGlobalAtmosphere","On destroy, internal mix goes to a cloned outdoor cell (sparked if inflamed)."
"Assets.Scripts.Objects.Pipes/HydroponicTray.cs::CurrentLightExposure","read","no","","Reads Plant.WorldAtmosphere.HasLight only."
"Assets.Scripts.Objects.Pipes/HydroponicsTrayDevice.cs::CurrentLightExposure","read","no","","Reads Plant.WorldAtmosphere.HasLight only."
"Assets.Scripts.Objects.Pipes/IndustrialBurner.cs::HandleGasInput","gated","yes","CloneGlobalAtmosphere(ChimneyExtension.VentGrid) (line 394)","Chimney: MoveToEqualize internal exhaust -> cloned outdoor cell, rate mapped between OneAtmosphere and MAXPressureGasPipe/10 (absolute). O2 burn and CO2 creation happen on the internal atmosphere."
"Assets.Scripts.Objects.Pipes/IndustrialCombustor.cs::OnAtmosphericTick","gated","yes","CloneGlobalAtmosphere(ChimneyExtension.VentGrid) (line 227)","Chimney: MoveToEqualize internal -> cloned outdoor cell, unlimited (PressurekPa.MaxValue), gas only. Heat-sink exchange is with internal and output pipe only."
"Assets.Scripts.Objects.Pipes/LiquidTap.cs::OnAtmosphericTick","gated","yes","CloneGlobalAtmosphere(WorldGrid) (line 46)","Drains half the input LIQUID volume per tick into a cloned cell."
"Assets.Scripts.Objects.Pipes/MultiGridAtmospherics.cs::VentWorldToInternal","gated","yes","CloneGlobalAtmosphere(startingGrid) (line 44); neighbour shells via GetAtmosphereLocal only","Pumps gas from cloned cells and real neighbours (up to 6 shells) into an internal atmosphere; each clone debits the tank. maxTakeRatio 0.5."
"Assets.Scripts.Objects.Pipes/Pipe.cs::GetWorkingAtmosphere","gated","no","CloneGlobalAtmosphere(WorldGrid) (line 557) or crew module internal","Returns a real cell, never the read-only copy."
"Assets.Scripts.Objects.Pipes/Pipe.cs::OnAtmosphericTick","gated","yes","CloneGlobalAtmosphere(currentGrid) (line 432) -> LeakMix","Burst pipe: drains LIQUID and equalises or mixes gas with a cloned cell per occupied grid. Absolute OneAtmosphere threshold picks equalise vs mix. Also SpawnIces from pipe gas."
"Assets.Scripts.Objects.Pipes/PipeRadiator.cs::GetWorkingAtmosphere","gated","no","CloneGlobalAtmosphere(WorldGrid) (line 25) or crew module internal","Returns a real cell."
"Assets.Scripts.Objects.Pipes/PipeRadiator.cs::OnAtmosphericTick","gated","yes","AtmosphereHelper.DoConvection: if (worldAtmosphere.Mode != Global) transfer, else CloneGlobalAtmosphereThreadSafe(grid) (AtmosphereHelper.cs:536-545)","HEAT: convection energy moves pipe <-> outdoor cell (clones a real cell when the sample is the read-only copy); the radiated part goes DoEntropy -> PAS.AddEnergy (switched, ExternalInputEnergyOffset counter). CalculateConvection only reads the sample. An outdoor radiator therefore creates or keeps a real cell every tick."
"Assets.Scripts.Objects.Pipes/PoweredVentMultiGrid.cs::ExchangeWithWorld","gated","yes","CloneGlobalAtmosphere(WorldGrid) (line 17); neighbours via GetAtmosphereLocal","Powered vent in/out at PressurePerTick against ExternalPressure, over up to 6 shells of real neighbour cells."
"Assets.Scripts.Objects.Pipes/PoweredVentSingleGrid.cs::ExchangeWithWorld","gated","yes","CloneGlobalAtmosphere(WorldGrid) (line 10)","Powered vent in/out at PressurePerTick on one cloned cell."
"Assets.Scripts.Objects.Pipes/RocketEngineBase.cs::BlockPlumeNeighbourAtmospheres","gated","yes","CloneGlobalAtmosphere(grid, allowCrewModules: false) (lines 554, 559, 564)","Creates up to 3 real cells under the flame and flags SimpleRocketExhaust; each clone debits the tank. Skipped at grid y >= 10000 (= 1000 m space line, absolute)."
"Assets.Scripts.Objects.Pipes/RocketEngineBase.cs::Exhaust","gated","yes","CloneGlobalAtmosphere(grid2, allowCrewModules: false) (line 488)","Spreads engine exhaust over a column of cloned cells. SINK TO SPACE: if flame grid y >= 10000 (1000 m, absolute) the whole internal mix is Removed and discarded, and any remainder after the loop is discarded too: exhaust above the space line leaves the world (propellant from tanks, not planet air). Contradicts the doc line that gas cannot be dumped to space."
"Assets.Scripts.Objects.Pipes/StateChangeDevice.cs::OnDestroy","gated","yes","CloneGlobalAddGasMix event (line 166) -> CloneGlobalAtmosphere","On destroy internal mix goes to a cloned outdoor cell."
"Assets.Scripts.Objects.Pipes/Tank.cs::OnAtmosphericTick","gated","yes","IsBroken branch reassigns atmosphere = CloneGlobalAtmosphere (line 53) before Mix; otherwise the sample is only read","Broken tank Mix(internal, cloned cell). Otherwise reads outdoor pressure for burst damage against MAXPressureGasPipe / MAXPressureLiquidPipe (absolute)."
"Assets.Scripts.Objects.Pipes/Tank.cs::OnDestroy","gated","yes","CloneGlobalAddGasMix event (line 81) -> CloneGlobalAtmosphere","On destroy internal mix goes to a cloned outdoor cell."
"Assets.Scripts.Objects.Pipes/WallVent.cs::OnAtmosphericTick","bypass","yes","NONE","KNOWN. Mix(Sample(facing), Sample(rear), Gas) with no real-cell guard. If one side is a real cell and the other the read-only copy, the real side is set to the volume-weighted average every tick while the planet side is ignored: free SOURCE when the room is thinner than the planet, SINK when thicker; moves half the difference of an 8000 L cell per tick. Both sides read-only is a no-op."
"Assets.Scripts.Objects.Weapons/Grenade.cs::OnAtmosphericTick","gated","yes","if (WorldAtmosphere == null || Mode == Global) WorldAtmosphere = CloneGlobalAtmosphere (line 139-141)","Armed grenade sparks the cell and adds 100 J/tick HEAT."
"Assets.Scripts.Objects/DynamicAirConditioner.cs::IsWithinOperatingRange","read","no","","Reads WorldAtmosphere.Temperature against absolute limits MINCoolingTemp 263.15 K and MAXHeatingTemp 323.15 K."
"Assets.Scripts.Objects/DynamicAirConditioner.cs::OnAtmosphericTick","gated","yes","if (WorldAtmosphere.IsGlobalAtmosphere) WorldAtmosphere = CloneGlobalAtmosphere (line 336-338), after WorldAtmosphere == null / !IsAboveArmstrong returns","HEAT only: adds or removes UsedPower*100 (canister) or UsedPower*10 (element) J/tick on the real cell. BUT it calls VentWaste() at line 311 BEFORE this guard: see the VentWaste row. ArmstrongLimit absolute."
"Assets.Scripts.Objects/DynamicAirConditioner.cs::VentWaste","bypass","yes","NONE","WorldAtmosphere.Add(InternalAtmosphere.Remove(all)) with no guard; called from OnAtmosphericTick line 311 before the IsGlobalAtmosphere clone at 336. Outdoors with no real cell WorldAtmosphere is the read-only copy, so the vented waste gas is destroyed: SINK, the whole internal mix per tick while open. Also NRE if WorldAtmosphere is null."
"Assets.Scripts.Objects/DynamicComposter.cs::DoProcessing","gated","yes","CloneGlobalAddGasMix event (line 186) -> CloneGlobalAtmosphere","Adds ExspelledGas * processed fraction (new matter from compost, at fixed Kelvin) to a cloned outdoor cell."
"Assets.Scripts.Objects/DynamicGasCanister.cs::OnAtmosphereClient","read","no","","Client side: reads outdoor pressure to show PressureDelta."
"Assets.Scripts.Objects/DynamicGasCanister.cs::OnAtmosphericTick","gated","yes","CloneGlobalAtmosphere(WorldGrid).Add (line 349 broken, line 395 release); the sample at 344 is only read","Portable tank releases up to PressurePerTick toward OutputSetting into a cloned cell; broken dumps everything. Reads outdoor pressure for burst damage."
"Assets.Scripts.Objects/DynamicGasCanister.cs::OnDamageDestroyed","gated","yes","CloneGlobalAddGasMix event (line 527, spark) -> CloneGlobalAtmosphere","Burst: internal mix copied to a cloned outdoor cell, internal reset."
"Assets.Scripts.Objects/DynamicGenerator.cs::OnAtmosphericTick","bypass","yes","NONE (only if (WorldAtmosphere == null) CloneGlobalAtmosphere, line 303-305; no Mode / IsGlobalAtmosphere check)","WorldAtmosphere.Add(internal exhaust) then internal Reset (line 307). SetWorldAtmosphere caches SampleGlobalAtmosphere, so outdoors without a real cell WorldAtmosphere is the non-null read-only copy: the Add is ignored and the exhaust (CO2, pollutant etc. plus its combustion HEAT) is destroyed. SINK, one internal-volume charge at PressurePerTick per tick. Combustion O2 comes from the canister, not the planet."
"Assets.Scripts.Objects/DynamicGenerator.cs::VentAllAtmosphereToWorld","bypass","yes","NONE (only WorldAtmosphere == null -> clone, line 206-208)","OnDestroy: MoveVolume(internal -> WorldAtmosphere, whole volume). If WorldAtmosphere is the read-only copy the gas is removed from internal and the Add ignored: SINK of the internal mix, once."
"Assets.Scripts.Objects/DynamicScrubber.cs::GetFromAtmos","gated","yes","WorldAtmosphere = CloneGlobalAtmosphere(WorldGrid) (line 171)","Own cell is cloned (real) and gets UsedPower*PowerEfficiency J/tick HEAT if above Armstrong; then GetFromCell(own grid) and GetFromCell(each open neighbour): the neighbour calls are the bypass, see GetFromCell."
"Assets.Scripts.Objects/DynamicScrubber.cs::GetFromCell","bypass","yes","NONE","KNOWN. Remove() on SampleGlobalAtmosphere(neighbour): for a neighbour with no real cell the read-only copy returns the moles without any debit. Free SOURCE: IdealGas.Quantity(PressurePerTick, internal volume, T) per neighbour per filter per tick, up to 6 neighbours; with filters only the filtered gas is kept (the remainder is Added back to the read-only copy = ignored), without filters everything is kept. Also STORES the sampled atmosphere into WorldAtmosphere (lines 199, 207)."
"Assets.Scripts.Objects/DynamicScrubber.cs::ReleaseToAtmos","bypass","yes","NONE (only WorldAtmosphere == null -> clone, line 149-151)","Open scrubber: WorldAtmosphere.Add(internal) + Reset below 100 kPa, else MoveVolume 5 % of volume per tick. WorldAtmosphere may be the read-only copy (from SetWorldAtmosphere, or stored by GetFromCell): released gas is destroyed. SINK, up to the full internal mix per tick. 100 kPa threshold absolute (device side)."
"Assets.Scripts.Objects/DynamicThing.cs::ApplyLiquidFlowForce","read","no","","Reads WorldAtmosphere.GetFlowDirection for a physics push (LIQUID flow)."
"Assets.Scripts.Objects/DynamicThing.cs::HasAtmosphere","read","no","","WorldAtmosphere.IsActive(): total moles > MINIMUM_WORLD_VALID_TOTAL_MOLES (0.1 mol, absolute per 8000 L cell)."
"Assets.Scripts.Objects/DynamicThing.cs::OnFireTick","gated","yes","WorldAtmosphere = AtmosphericsManager.CloneGlobalAtmosphereThreadSafe(WorldGrid) (line 2211) before OnFireConsume","Reads WorldAtmosphere pressure against MinimumIgnitionPressurePropane (1.5 kPa absolute) and ShouldIgnite; burning consumes O2 and adds HEAT on the real cloned cell."
"Assets.Scripts.Objects/DynamicThing.cs::OnThreadUpdate","read","no","","Reads WorldAtmosphere Direction and pressure for drag and wind push; PressureFullyApplyVelocity 90 kPa absolute."
"Assets.Scripts.Objects/DynamicThing.cs::PhysicsUpdate","read","no","","Buoyancy: reads WorldAtmosphere.LiquidVolumeRatio and the GLOBAL SEA (GlobalAtmosphereLiquid.IsUnderGlobalLiquid, GetWorldGridLiquidVolumeRatio). No gas change."
"Assets.Scripts.Objects/DynamicThing.cs::SetWorldAtmosphere","none","no","","WRAPPER: stores SampleGlobalAtmosphere(grid) (or crew module / parent internal / parent WorldAtmosphere) into WorldAtmosphere. This is how the read-only copy gets cached on every dynamic thing."
"Assets.Scripts.Objects/DynamicThing.cs::WorldAtmosphere","none","no","","WRAPPER property: returns the cached sample (nulled only if IsInvalidWorld, which is always false for Mode Global)."
"Assets.Scripts.Objects/Entity.cs::BreathingAtmosphere","none","no","","WRAPPER property: forwards WorldAtmosphere (virtual; subclasses may override)."
"Assets.Scripts.Objects/Entity.cs::GetExteriorState","read","no","","Reads WorldAtmosphere.Mode and Room."
"Assets.Scripts.Objects/Entity.cs::IsSoiled","read","no","","SoilingAtmosphere => WorldAtmosphere (a WRAPPER, line 605); IsAtmosphereSoiled reads polluted-water ratio > 0.1."
"Assets.Scripts.Objects/Entity.cs::LifeBreathe","bypass","yes","NONE (only if (BreathingAtmosphere == null) CloneGlobalAtmosphere, line 1223-1225)","For any entity whose BreathingAtmosphere is its WorldAtmosphere (base Entity: animals, NPCs, anything not overriding) outdoors with no real cell: Mix(LungAtmosphere, read-only copy) sets the lungs to the volume-weighted planet mix each tick. Free SOURCE of planet gas into the lungs and SINK of exhaled CO2 and lung contents; the TakeBreath CO2 Add to the copy is ignored. Small: <= 0.0048 mol O2 per breath plus one lung volume of exchange per tick per entity. (Decompile shows TakeBreath taking Mole structs by value, probably a lost ref.)"
"Assets.Scripts.Objects/Entity.cs::set","none","no","","BreathingAtmosphere setter: stores into WorldAtmosphere (WRAPPER store)."
"Assets.Scripts.Objects/Item.cs::OnDecayServer","read","no","","Reads WorldAtmosphere temperature, pressure and gas ratios to scale food decay; ranges _min/_maxTemperatureDecayKelvin and _min/_maxPressureDecayKpa are absolute."
"Assets.Scripts.Objects/Item.cs::Smelt","gated","yes","if (localAtmosphere.IsGlobalAtmosphere) CloneGlobalRemoveEnergy(WorldGrid, ...) (line 365-367) else CreateRemoveEnergy on the real atmosphere","HEAT: smelting removes IdealGas.Energy(reagent heat capacity, FlashPoint) from the furnace or cell; outdoors via the clone event."
"Assets.Scripts.Objects/LanderCapsule.cs::OnAtmosphericTick","gated","yes","CloneGlobalAtmosphere(new WorldGrid(Position)) (line 481)","Open lander Mix(internal, cloned outdoor cell, All) every tick."
"Assets.Scripts.Objects/LargeExtendableRadiator.cs::IsHeatedByAtmosphere","read","no","","Compares outdoor temperature with internal."
"Assets.Scripts.Objects/PipeLeak.cs::IsEmitting","read","no","","Reads outdoor pressure; leak particles when pipe > outdoor + OneAtmosphere (absolute)."
"Assets.Scripts.Objects/PortableAtmospherics.cs::Delete","gated","yes","CloneGlobalAddGasMix event (line 229) -> CloneGlobalAtmosphere, when there is no sourceItem","Deleting a portable: internal mix to a cloned outdoor cell; if deleted by a source item the internal gas is just Reset (destroyed; device gas, not planet gas)."
"Assets.Scripts.Objects/PortableAtmospherics.cs::VentAllAtmosphereToWorld","bypass","yes","NONE (only WorldAtmosphere == null -> clone, line 119-121)","OnDestroy of every PortableAtmospherics except the air conditioner (portable tanks, scrubber, etc.): MoveVolume(internal -> WorldAtmosphere, whole volume). With the read-only copy cached, the whole internal mix is destroyed: SINK, once per destroyed portable (a full portable tank can be thousands of mol)."
"Assets.Scripts.Objects/RobotMining.cs::GetLogicValue","read","no","","TemperatureExternal and PressureExternal logic reads of WorldAtmosphere."
"Assets.Scripts.Objects/RobotMining.cs::HaltAndCatchFire","gated","yes","CloneGlobal event (line 355) -> CloneGlobalAtmosphere (AtmosphericEventInstance.cs:429)","Creates a real cell at the robot with zero energy + spark, then explodes."
"Assets.Scripts.Objects/SmallGrid.cs::OnFireTick","gated","yes","AtmosphericsManager.CloneGlobalAtmosphereThreadSafe(WorldGrid) (line 185) before OnFireConsume","Sample at 172 is only read by ShouldIgnite; burning consumes O2 and adds HEAT on a real cloned cell."
"Assets.Scripts.Objects/Structure.cs::IsExposedToGlobal","read","no","","GetWorldAtmosphere() is GetAtmosphereLocal (never the copy); reads IsGlobalAtmosphere and IsCloseToGlobal(1 kPa absolute tolerance)."
"Assets.Scripts.Objects/Structure.cs::OnFireTick","gated","yes","AtmosphericsManager.CloneGlobalAtmosphereThreadSafe(WorldGrid) (line 2267) before OnFireConsume","Sample at 2254 is only read by ShouldIgnite; burning acts on a real cloned cell."
"Assets.Scripts.Objects/WeatherStation.cs::OnAtmosphericTick","read","no","","Reads outdoor PressureGasses for turbine speed."
"Assets.Scripts.Objects/WeatherStation.cs::OnThreadUpdate","read","no","","Client: reads outdoor PressureGasses."
"Assets.Scripts.Serialization/XmlSaveLoad.cs::GetWorldData","internal","no","","Save: TerraForming.Serialize() (vegetation) and worldData.PlanetaryAtmosphere = PAS.Save() right after AllAtmospheres are collected (known D12 cache skew; the mod prefix refreshes caches)."
"Assets.Scripts.Serialization/XmlSaveLoad.cs::LoadWorld","internal","yes","CloneGlobalAtmosphere(saved position, refId) (line 1107), then Atmosphere.Load overwrites the cell","Load: TerraForming.Deserialize, PAS.Load(worldData.PlanetaryAtmosphere, revision) (line 1069), then every saved world cell is built with CloneGlobalAtmosphere (debits the tank through the switch) and immediately Reset + overwritten by Atmosphere.Load: a per-load SINK of one cell share per saved cell (8000 L is absolute: the share is 20x larger when tank volume is x0.05). Already known as D1, fixed by the gate being off while GameState is Loading."
"Assets.Scripts.Sound/AtmosphericAudioHandler.cs::ManageWindAudio","display","no","","Wind and storm audio from the player's WorldAtmosphere and sampled neighbours' Direction; MinimumLocalAtmosPressure 1 kPa absolute. On clients calls GetOpenAirNeighbors on the (possibly shared read-only) atmosphere: touches its neighbour list, not gas."
"Assets.Scripts.Sound/GameAudioSource.cs::CalculateAndSetAtmosphericVolume","display","no","","Audio volume = outdoor pressure / AtmosAudioVolumeThreshold (3 kPa absolute)."
"Assets.Scripts.Sound/ListenerEffectManager.cs::ManagerUpdate","display","no","","Low-pass filter from the player's WorldAtmosphere.RatioOneAtmosphereClamped."
"Assets.Scripts.UI.ImGuiUi/TerraformingGasCurveData.cs::Register","internal","no","","Data load: registers a per-gas GHG index curve into TerraForming.TerraformingGasCurves (feeds the planet temperature formula). Curves are per mmol/L, so they follow tank volume correctly."
"Assets.Scripts.UI.ImGuiUi/WorldSettingToolsImguiWindow.cs::Draw","display","yes","","Dev debug window (console command). Shows PAS temperature terms including LatentOffset and ExternalInputOffset. CAN MUTATE THE PLANET: the Global GasMix tab edits GlobalAtmosphereData.Volume and calls PAS.RegenerateGlobalFromData (replaces the tank from world data, no conservation); the key-frame editors edit the live WorldSetting temperature curves in place."
"Assets.Scripts.UI.ImGuiUi/WorldSettingToolsImguiWindow.cs::DrawGlobalMolesPerLiter","display","no","","Shows tank mmol/L per gas and its GHG curve value."
"Assets.Scripts.UI.ImGuiUi/WorldSettingToolsImguiWindow.cs::Populate","display","no","","Binds graph editors to the live GlobalAtmosphereData curve objects (SolarAngle, SolarRadiation, GHG, Density offsets) and TerraformingGasCurves; edits made through them change planet temperature."
"Assets.Scripts.UI.ImGuiUi/WorldSettingToolsImguiWindow.cs::UpdateAggregateTemperature","display","no","","Builds a throwaway GlobalGasMix.Create(world data) and plots GetGlobalGasMixTemperature over 181 solar angles; does not touch the live tank."
"Assets.Scripts.UI/ImGuiManager.cs::RenderOverlay","display","no","","Debug overlay: PAS.DrawOnScreenDebug and TerraForming.ImguiDebug."
"Assets.Scripts.UI/PlayerStateWindow.cs::ShowGasJetpackUI","display","no","","HUD: canister pressure minus the jetpack's WorldAtmosphere pressure."
"Assets.Scripts.UI/PlayerStateWindow.cs::Update","display","no","","HUD external pressure and temperature from Parent.WorldAtmosphere."
"Assets.Scripts.Util/Achievements.cs::AchieveJetpackCritical","read","no","","Reads outdoor pressure + 100 kPa (absolute) for an achievement test."
"Assets.Scripts/AtmosphericEventInstance.cs::Apply","internal","yes","dispatch only; the CloneGlobal* cases call CloneGlobalAtmosphere","Event dispatcher. The non-clone cases (AddGasMixture, RemoveGasMixture, AddEnergy, RemoveEnergy, SetGasMixture on a stored _atmosphere) have no guard: a caller queuing CreateAdd / CreateRemove / CreateRemoveEnergy with a sampled read-only atmosphere would bypass. Callers must guard (the Smelt overrides do)."
"Assets.Scripts/AtmosphericEventInstance.cs::CloneGlobal","gated","yes","CloneGlobalAtmosphere(_worldGrid) (line 429)","Static queues the event; the instance method clones a real cell and AddEnergy (HEAT, optional spark)."
"Assets.Scripts/AtmosphericEventInstance.cs::CloneGlobalAddGas","gated","yes","CloneGlobalAtmosphere(_worldGrid) (line 439)","Clones a real cell and Adds the queued gas mixture."
"Assets.Scripts/AtmosphericEventInstance.cs::CloneGlobalAddGasMix","gated","no","queues the CloneGlobalAddGas event (line 259)","Static enqueue only (if RunSimulation); the work is in CloneGlobalAddGas."
"Assets.Scripts/AtmosphericEventInstance.cs::CloneGlobalRemoveEnergy","gated","yes","CloneGlobalAtmosphere(_worldGrid) (line 458)","Clones a real cell and RemoveEnergy (HEAT out of the cell)."
"Assets.Scripts/AtmosphericEventInstance.cs::DivideWorldAtmosphere","gated","yes","GetAtmosphereLocal for the source; CloneGlobalAtmosphere(neighbour).Add (line 486)","A cell being blocked splits its gas equally over cloned open neighbours, then is removed from AllAtmospheres and Reset. With 0 open neighbours the gas is simply Reset: SINK of that cell's contents (not returned to the planet via Deregister)."
"Assets.Scripts/AtmosphericEventInstance.cs::StructureReleaseGrid","gated","yes","PAS.TakeGlobalGasMix(atmosphere.Volume) (line 423, switched), guarded by !IsInSpaceAtmosphere","A freed grid with no real or room neighbours gets a new cell filled by TakeGlobalGasMix (debits the tank); nothing above the space line."
"Assets.Scripts/AtmosphericsController.cs::Clear","internal","no","","MISATTRIBUTED by the census: line 158 is in the constructor AtmosphericsController(GridController): PAS.CreateGlobalAtmosphere(WorldSetting.Current.Data.GlobalAtmosphereData) for the world controller, which creates the tank. Clear() itself only destroys visualisers."
"Assets.Scripts/AtmosphericsController.cs::CloneGlobalAtmosphere","gated","yes","GetAtmosphereLocal first; a new cell -> PAS.CloneGlobalGasMix (line 309, switched) unless IsGridAwaiting","THE gate: returns the existing real cell, or builds one and debits the tank by cell.Volume / tank.Volume of its contents. No gas above _spaceGridHeight (1000 m). Throws on client. An awaiting grid gets an EMPTY cell (no debit)."
"Assets.Scripts/AtmosphericsController.cs::HasAtmosphere","read","no","","SampleGlobalAtmosphere(grid)?.IsActive()."
"Assets.Scripts/AtmosphericsController.cs::IgniteAtmosphere","gated","yes","GetAtmosphereLocal + !IsGlobalAtmosphere (line 349-350)","Adds ignition energy + spark to an existing real cell only; does nothing when no real cell exists."
"WRAPPER::AtmosphericsController.SampleGlobalAtmosphere","none","no","","The root: GetAtmosphereLocal(grid) ?? PAS.ReadOnlyGlobal(grid)."
"WRAPPER::AtmosphericsController.ReadonlyGlobalAtmosphere","none","no","","Static forwarder to PAS.ReadOnlyGlobal(new WorldGrid(grid)) (AtmosphericsController.cs:103); used by RoadFlare."
"WRAPPER::PlanetaryAtmosphereSimulation.ReadOnlyGlobal","none","no","","Returns _readOnlySpace above the space line, else _readOnlyGlobal."
"WRAPPER::DynamicThing.WorldAtmosphere","none","no","","Cached sample property (get and set)."
"WRAPPER::DynamicThing.SetWorldAtmosphere","none","no","","Stores SampleGlobalAtmosphere into WorldAtmosphere; slotted children inherit the parent's WorldAtmosphere."
"WRAPPER::Entity.BreathingAtmosphere","none","no","","Virtual property forwarding WorldAtmosphere (get and protected set); check overrides and all callers."
